Timestamp,Sejak kapan Anda mengikuti JKT48 dan/atau menjadi fans JKT48? ,Gender,Usia,"Berdasarkan tempat tinggal Anda, manakah yang paling tepat mendeskripsikan Anda?",Apa status Anda saat ini?,Apakah Anda sudah pernah melakukan pembelian produk JKT48? ,Media sosial apa yang secara aktif Anda gunakan untuk menjalankan aktivitas sebagai fans JKT48 (idoling)?,Apa alasan yang men-trigger Anda untuk menjadi atau kembali menjadi fans JKT48 pasca-restrukturisasi? (Alasan menjadi fans JKT48),"Secara rata-rata, berapa uang yang Anda habiskan dalam sebulan untuk idoling?",Dari produk di bawah manakah yang pernah Anda beli?,"Dari pilihan di bawah ini, manakah sumber yang menginfluence Anda untuk menjadi Fans JKT48?",Jika Anda menjawab Streamer sebagai sumber awareness dan sumber influence Anda untuk menjadi fans JKT48. siapakah Streamer yang paling menginfluence Anda dan alasannya?,,,,,,,,,,,,,,,
12/29/2023 8:54:36,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"pengen dengerin lagu JKT48 selain happy rotation & aitakatta , dan akhirnya menemukan member & lagu yang cocok dengan diri sendiri. sebenernya hanya ingin menikmati lagunya saja tapi ya namanya labirin JKT48 jadi gabisa keluar wkwk.",< Rp 500.000,Streaming Theater,Konten Clip Theater JKT48,"MindamRandom. suka aja setiap mereka live stream dengan segala gimmick yang ada ( stop suling ) dan juga pelan² tau kalo ada "" culture "" di JKT48 yang harus di ikuti suka dan tidak suka demi menjaga fandom ini tetap "" sehat "" ",,,,,,,,,,,,,,,
12/29/2023 8:54:59,tahun 2022,Laki-Laki,20-25 tahun,Fans near,Bekerja,Iya,Twitter,Karena melihat lucunya Cepio di Tour Batu 2022.,< Rp 500.000,"Streaming Theater, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",JKT48 Tour 2022 & 2023,"Izin kak Scrubbay, harusnya ini jangan diwajibin, kalo pun wajib bisa ada keterangan ""abaikan jika bukan streamer"".",,,,,,,,,,,,,,,
12/29/2023 8:55:24,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Waktu pandemi kerjanya cuman scroll medsos doang akhirnya mulai ngikutin JKT48 dari clip clip,< Rp 500.000,"Birthday T-shirt, Merchandise Lainnya",Konten Tiktok Terkait JKT48,Jujur saya lebih dulu tau JKT48 tapi kalau disuruh nulis streamer yng paling menginfluence mungkin bang brando soalnya dia juga yg buat saya jadi ngedalamin dunia peridolan ini,,,,,,,,,,,,,,,
12/29/2023 8:55:32,tahun 2022,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,Karena penasaran dengan perkembangan JKT48 pasca restrukturisasi.,Rp 500.000 - 1.000.000,"Streaming Theater, 2-Shot, Meet and Greet, Birthday T-shirt, Merchandise Lainnya",JKT48 Tour 2022 & 2023,Mindam Random. Karena tetap pada jalurnya.,,,,,,,,,,,,,,,
12/29/2023 8:55:42,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Melihat mc di tiktok yang sangat mengobati patah hati akibat putus🙃,Rp 500.000 - 1.000.000,"Streaming Theater, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,Saya tidak menjawab streamer. Tapi Windah Basudara membuat saya yakin menjadi fjkt.,,,,,,,,,,,,,,,
12/29/2023 8:55:48,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Bekerja,Iya,Twitter,Melihat generasi 10,< Rp 500.000,Merchandise Lainnya,Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,
12/29/2023 8:56:13,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Tiktok,coba² ternyata semenyenangkan ini,< Rp 500.000,Merchandise Lainnya,JKT48 Tour 2022 & 2023,-,,,,,,,,,,,,,,,
12/29/2023 8:56:14,tahun 2021,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Alasannya pasca covid saya mencari kegiatan baru lalu saya menonton clip seputar jkt48,< Rp 500.000,"Birthday T-shirt, Merchandise Lainnya",Konten Clip Theater JKT48,"Deankt mungkin ya saya tau beberapa lagu jkt juga dari dia bel sekola adalah love song, karena saya juga sebagai penonton gamers dan penikmat lagu, ya wapaupun bahasa kasar sering keluar tetap saja dizaman modern ini kita harus bener benar memilah positif dan negatifnya",,,,,,,,,,,,,,,
12/29/2023 8:56:22,tahun 2021,Perempuan,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Oshi masih ada :'),< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 8:56:49,tahun 2021,Perempuan,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Ngga punya temen,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,
12/29/2023 8:57:15,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Bekerja,Iya,Twitter,"awalnya tertaris secara personal ke zee (ga terlalu ngikutin jkt48 nya), terus karena temen sering repost video tiktok tentang jkt48 lama lama tertarik dan terhipnotis buat nyemplung ke sana ",Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,"windah basudara (brando) karena kontennya sama gita, atin, jesslyn dari situ terpincut sama daya tarik gita, mulailah mengulik tentang gita and finally dia jdi salah satu oshi ku",,,,,,,,,,,,,,,
12/29/2023 8:57:31,tahun 2022,Perempuan,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,interaksi antar member yang menghibur. serta kedekatan antar member dan fans yang bisa dilakukan oleh fansfar (blm pernah ke theater atau offair) dengan vc perbulannhya,< Rp 500.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,jawaban bkn streamer tpi awal mula ter-influence ex member gen 1 yang kontenin comeback konser heaven,,,,,,,,,,,,,,,
12/29/2023 8:58:26,tahun 2022,Perempuan,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Idk, but Anin caught my eyes then Shani makes me stay",Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,"Bukan streamer sih, selebtok gitu mereka ngefans sama Anin dan kebetulan Anin join live mereka jadi aku kepoin akunnya si Anin itu",,,,,,,,,,,,,,,
12/29/2023 8:58:27,tahun 2022,Laki-Laki,15-20 tahun,Fans near,Bekerja,Iya,Twitter,Tertarik dengan salah satu member kemudian menjadi tertarik untuk lebih mendalami jkt48 as a group,< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air",Instagram post terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 8:59:37,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,lagunya relate,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Tiket event off-air atau on-air",Zee x Erigo New York,-,,,,,,,,,,,,,,,
12/29/2023 8:59:43,tahun 2022,Perempuan,20-25 tahun,Fans far,Bekerja,Iya,Twitter,"Suka membernya cantik lucu, Lagunya related",< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket Konser",Konten Tiktok Terkait JKT48,"Gua kaga kenal streamer, itu sirkel toxic soalnya huhu, omongannya kebun binatang",,,,,,,,,,,,,,,
12/29/2023 9:00:18,tahun 2021,Perempuan,26-30 tahun,Fans near,Bekerja,Iya,Twitter,Karena tertarik sama konten-kontennya yang tersebar di sosial media.,< Rp 500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,
12/29/2023 9:00:31,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,"Kembali merasakan euforia menonton JKT48 secara langsung saat tour 2022, setelah vakum selama 5 tahun.",Rp 1.000.001 - 1.500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",JKT48 Tour 2022 & 2023,Tidak ada ,,,,,,,,,,,,,,,
12/29/2023 9:00:54,tahun 2022,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Konser Heaven,Rp 1.000.001 - 1.500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 9:01:19,tahun 2021,Laki-Laki,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,"Kemudahan berinteraksi dan mengikuti perkembangan jeketi dengan adanya media sosial. Dan sudah punya duit yang cukup untuk idoling, hahaha",Rp 500.000 - 1.000.000,"Streaming Theater, Birthday T-shirt, Tiket Konser, Merchandise Lainnya",Konten Tiktok Terkait JKT48,Tidak ada.,,,,,,,,,,,,,,,
12/29/2023 9:01:45,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,Karena terpukau dengan deck freyana,< Rp 500.000,Streaming Theater,Konten Clip Theater JKT48,Gak ada,,,,,,,,,,,,,,,
12/29/2023 9:01:50,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"sebelumnya dikarenakan saya dari awal ngidol tidak pernah spend uang, dan juga sudah tidak ada member yang membuat saya untuk stay di JKT48 jadi saya pensiun ngidol, pada pertengahan tahun 2023 banyak meme freya bermunculan, itulah titik balik saya, saya mulai mencoba untuk spending uang di JKT48 ini, dan ya ternyata hal ini menjadi alasan yang cukup kuat bagi saya untuk stay lebih lama lagi di JKT48",Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 9:02:05,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Viral nya Zee nya ikut NYFW bersama Erigo,Rp 1.500.001 - 2.000.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Zee x Erigo New York,tidak ada,,,,,,,,,,,,,,,
12/29/2023 9:02:29,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Karena butuh hiburan setelah dalam keadaan berduka,Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,
12/29/2023 9:03:09,tahun 2023,Perempuan,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"ingin mendukung member favorit, menyukai lagu JKT48 setelah merasa relate dengan lagunya",Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt",Twitter terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 9:03:25,tahun 2021,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,Viralnya Sisca di lagu 365 dan akhirnya balik ngidol lalu Oshiin dia,< Rp 500.000,"Streaming Theater, Merchandise Lainnya",Lainnya,Gak ada. Tau jkt48 udh dari 2012 dan gk tau apa itu Streamer,,,,,,,,,,,,,,,
12/29/2023 9:03:29,tahun 2023,Perempuan,15-20 tahun,Fans far,Bekerja,Iya,Twitter,ashel,Rp 500.000 - 1.000.000,"Birthday T-shirt, Merchandise Lainnya",Twitter terkait JKT48,"kalau streamer banyak yg berseliweran tp rata² buat keseruan aja, kalau influencer itu ka aina sama ka scrubbay (termasuk influencer gasi kak?) aku makin suka jkt48 karna kalian hehe + soalnya all in lah pokoknya, info dapet serunya juga dapet",,,,,,,,,,,,,,,
12/29/2023 9:03:33,tahun 2022,Laki-Laki,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,"Karena banyak lewat video jkt48 di tiktok, terus liat tiktoknya Jessi",Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt",Konten Tiktok Terkait JKT48,"Bukan dari streamer, tapi Mindam Random salah satu sumber informasi untuk JKT48 (shout out to them) ",,,,,,,,,,,,,,,
12/29/2023 9:03:46,tahun 2021,Perempuan,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Zee muncul di explore IG dan Tiktok,< Rp 500.000,"Streaming Theater, Tiket Konser",Instagram post terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:04:30,tahun 2021,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,mendukung idola sepenuh hati dan jkt48 memberikan dampak positif ,Rp 500.000 - 1.000.000,"Video Call with JKT48, Birthday T-shirt",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 9:05:13,tahun 2023,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Karena banyak vidio Freya yg muncul di FYP hingga akhirnya penasaran dan tercebur di fandom ini ,< Rp 500.000,"Theater, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,"Robby S Putra, salah satu streamer yg membawa saya masuk lebih dalam ke fandom ini",,,,,,,,,,,,,,,
12/29/2023 9:06:33,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,tertarik karena nemu Kity di tiktok dia mirip orang yang aku sukai dan tipe aku banget selain itu aku juga pengen mempunyai adik cewe dan karakter itu cocok bgt sama dia,< Rp 500.000,"Streaming Theater, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:08:13,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,Karena saya menyukai semangat dan perjuangan mereka ,< Rp 500.000,"Streaming Theater, Tiket Konser",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:08:18,tahun 2023,Perempuan,20-25 tahun,Fans near,Bekerja,Iya,Twitter,Liat clip teater & sr di tiktok,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:09:27,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Ingin mencari hobi baru,< Rp 500.000,"Streaming Theater, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:09:33,tahun 2021,Perempuan,15-20 tahun,Fans far,Bekerja,Iya,Twitter,"kebawa angin aja tau² stan JKT48. selain itu menurutku selain lagu JKT48 yang bisa bikin lebih semangat, dari member nya dan acara² seru yang dibuat JOT mantab sih",< Rp 500.000,"Streaming Theater, Birthday T-shirt, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:10:15,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"baru lulus sekolah terus gabut, scroll tiktok lewat fyp pas konser heaven",< Rp 500.000,"Streaming Theater, Birthday T-shirt, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:10:24,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,concert heaven,< Rp 500.000,Streaming Theater,Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:10:59,tahun 2023,Perempuan,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,tertarik dengan semua hal yg dilakukan oleh member JKT48 ,< Rp 500.000,Video Call with JKT48,Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:11:00,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,Aku sebenarnya fans baru new era pas liat fyp erigo lewat kebetulan di situ ada zee beberapa artis lain yg ke new York ,< Rp 500.000,"Streaming Theater, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,Gak ada ,,,,,,,,,,,,,,,
12/29/2023 9:11:43,tahun 2023,Perempuan,10-15 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"karena adanya videocall, theater, mng, dan event event lainnya yang membuat saya tertarik sama jkt48 ",Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser",Konten Tiktok Terkait JKT48,sejauh ini saya tidak pernah mengikuti/menonton streamer,,,,,,,,,,,,,,,
12/29/2023 9:12:10,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Bekerja,Iya,Twitter,Ada member yg menarik untuk didukung,Rp 1.000.001 - 1.500.000,"Theater, Video Call with JKT48, 2-Shot",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 9:12:16,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Suka lagunya & membernya,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Birthday T-shirt, Merchandise Lainnya",JKT48 Tour 2022 & 2023,,,,,,,,,,,,,,,,
12/29/2023 9:12:19,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Diracunin temen pas masuk kuliah tahun 2021 gegara pas kekosnya dia wota sepuh region magelang & kolektor pc pp jeketoy,< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket Konser, Merchandise Lainnya",Festival musik yang mengundang JKT48,Gada,,,,,,,,,,,,,,,
12/29/2023 9:12:59,tahun 2022,Perempuan,20-25 tahun,Fans far,Bekerja,Iya,Twitter,"Berwarna bgt hidup setelah ngikutin jeketi, ga jadi mati karna tau mereka ada di dunia, jadi lebih bahagia tiap hari nya, ga perduli dengan semua tubir setiap harinya yaa karna gua menikmati aja selama ga ganggu gua, bener"" ngarubah hari jadi lebih happy.",Rp 1.000.001 - 1.500.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 9:13:22,tahun 2021,Laki-Laki,26-30 tahun,Fans near,Bekerja,Iya,Instagram,Karena masih ingin melihat perkembangan JKT48 dan senang dengan lagu-lagunya,< Rp 500.000,"Streaming Theater, Meet and Greet, Tiket Konser, Tiket event off-air atau on-air",Lainnya,,,,,,,,,,,,,,,,
